trial,block,code,A,B,C,D,E,F,flow,type,A_txt,B_txt,C_txt,D_txt,E_txt,F_txt,divider,carrier_out
298,5,7,0,0,0,1,1,1,33.333333333333336,000111,0,0,0,5,6,7,3,800
299,5,13,0,0,1,1,0,1,33.333333333333336,001101,0,0,3,5,0,7,3,800
300,5,46,1,0,1,1,1,0,25.0,101110,1,0,3,5,6,0,4,800
301,5,39,1,0,0,1,1,1,25.0,100111,1,0,0,5,6,7,4,800
302,5,0,0,0,0,0,0,0,0.0,000000,0,0,0,0,0,0,0,900
303,5,55,1,1,0,1,1,1,20.0,110111,1,2,0,5,6,7,5,800
304,5,4,0,0,0,1,0,0,100.0,000100,0,0,0,5,0,0,1,800
305,5,56,1,1,1,0,0,0,33.333333333333336,111000,1,2,3,0,0,0,3,800
306,5,45,1,0,1,1,0,1,25.0,101101,1,0,3,5,0,7,4,800
307,5,36,1,0,0,1,0,0,50.0,100100,1,0,0,5,0,0,2,800
308,5,47,1,0,1,1,1,1,20.0,101111,1,0,3,5,6,7,5,800
309,5,57,1,1,1,0,0,1,25.0,111001,1,2,3,0,0,7,4,800
310,5,48,1,1,0,0,0,0,50.0,110000,1,2,0,0,0,0,2,800
311,5,31,0,1,1,1,1,1,20.0,011111,0,2,3,5,6,7,5,800
312,5,38,1,0,0,1,1,0,33.333333333333336,100110,1,0,0,5,6,0,3,800
313,5,50,1,1,0,0,1,0,33.333333333333336,110010,1,2,0,0,6,0,3,800
314,5,9,0,0,1,0,0,1,50.0,001001,0,0,3,0,0,7,2,800
315,5,60,1,1,1,1,0,0,25.0,111100,1,2,3,5,0,0,4,800
316,5,1,0,0,0,0,0,1,100.0,000001,0,0,0,0,0,7,1,800
317,5,34,1,0,0,0,1,0,50.0,100010,1,0,0,0,6,0,2,800
318,5,15,0,0,1,1,1,1,25.0,001111,0,0,3,5,6,7,4,800
319,5,6,0,0,0,1,1,0,50.0,000110,0,0,0,5,6,0,2,800
320,5,23,0,1,0,1,1,1,25.0,010111,0,2,0,5,6,7,4,800
321,6,0,0,0,0,0,0,0,0.0,000000,0,0,0,0,0,0,0,900
